,LOC,ZC,CITY,road,state,LAT,LONG
604,Club/Bar/Restaurant,11375.0,Forest Hills,Queens,NY,40.71916742,-73.8421903
605,Club/Bar/Restaurant,11102.0,Astoria,Queens,NY,40.7702664,-73.9188378
606,Club/Bar/Restaurant,11101.0,Long Island City,Queens,NY,40.74263781,-73.95358052
607,Club/Bar/Restaurant,11238.0,,Brooklyn,NY,40.68829839,-73.95708715
608,Club/Bar/Restaurant,10009.0,New York,Manhattan,NY,40.72712725,-73.9841937
609,Club/Bar/Restaurant,11238.0,,Brooklyn,NY,40.67383824,-73.96299069
610,Club/Bar/Restaurant,11218.0,,Brooklyn,NY,40.63972478,-73.96772979
611,Club/Bar/Restaurant,11375.0,Forest Hills,Queens,NY,40.71954389,-73.84250687
612,Club/Bar/Restaurant,10016.0,New York,Manhattan,NY,40.7438043,-73.98373864
613,Club/Bar/Restaurant,11222.0,,Brooklyn,NY,40.72663629,-73.9480788
614,Club/Bar/Restaurant,10024.0,New York,Manhattan,NY,40.78591202,-73.97260615
615,Club/Bar/Restaurant,10026.0,New York,Manhattan,NY,40.80635431,-73.9539551
616,Club/Bar/Restaurant,10028.0,New York,Manhattan,NY,40.77666244,-73.95554624
617,Club/Bar/Restaurant,10019.0,New York,Manhattan,NY,40.76045668,-73.98373097
618,Club/Bar/Restaurant,10013.0,New York,Manhattan,NY,40.71639867,-74.00964963
619,Club/Bar/Restaurant,10301.0,Staten Island,Staten Island,NY,40.61898465,-74.10608833
620,Club/Bar/Restaurant,10029.0,New York,Manhattan,NY,40.79564993,-73.9367025
621,Club/Bar/Restaurant,10033.0,New York,Manhattan,NY,40.85465602,-73.93704036
622,Club/Bar/Restaurant,11234.0,,Brooklyn,NY,40.61897721,-73.92657171
623,Club/Bar/Restaurant,10031.0,New York,Manhattan,NY,40.82382294,-73.94428864
624,Club/Bar/Restaurant,10014.0,New York,Manhattan,NY,40.73524167,-74.00606204
625,Club/Bar/Restaurant,11374.0,Rego Park,Queens,NY,40.71586504,-73.86102109
626,Club/Bar/Restaurant,10014.0,New York,Manhattan,NY,40.73815366,-74.0090249
627,Club/Bar/Restaurant,10002.0,New York,Manhattan,NY,40.72100139,-73.9878785
628,Club/Bar/Restaurant,10040.0,New York,Manhattan,NY,40.85734316,-73.93231304
629,Club/Bar/Restaurant,11206.0,,Brooklyn,NY,40.69959035,-73.94423377
630,Club/Bar/Restaurant,10012.0,New York,Manhattan,NY,40.72475941,-73.99331115
631,Club/Bar/Restaurant,11211.0,,Brooklyn,NY,40.71577141,-73.9588695
632,Club/Bar/Restaurant,11212.0,,Brooklyn,NY,40.6571417,-73.91980078
633,Club/Bar/Restaurant,11377.0,Woodside,Queens,NY,40.75317252,-73.90498435
634,Club/Bar/Restaurant,11237.0,,Brooklyn,NY,40.70896635,-73.92472682
635,Club/Bar/Restaurant,10019.0,New York,Manhattan,NY,40.76391016,-73.98865404
636,Club/Bar/Restaurant,11249.0,,Brooklyn,NY,40.71093446,-73.96513432
637,Club/Bar/Restaurant,10032.0,New York,Manhattan,NY,40.83853602,-73.94159476
638,Club/Bar/Restaurant,11234.0,,Brooklyn,NY,40.63249702,-73.93392817
639,Club/Bar/Restaurant,11103.0,Astoria,Queens,NY,40.76502017,-73.91738937
640,Club/Bar/Restaurant,11211.0,,Brooklyn,NY,40.71138031,-73.94674525
641,Club/Bar/Restaurant,10013.0,New York,Manhattan,NY,40.7188309,-73.99755053
642,Club/Bar/Restaurant,10009.0,New York,Manhattan,NY,40.72409376,-73.98070211
643,Club/Bar/Restaurant,11204.0,,Brooklyn,NY,40.61361381,-73.9810402
644,Club/Bar/Restaurant,11238.0,,Brooklyn,NY,40.68334712,-73.96621238
645,Club/Bar/Restaurant,10025.0,New York,Manhattan,NY,40.79365992,-73.97066719
646,Club/Bar/Restaurant,10014.0,New York,Manhattan,NY,40.7339463,-74.00048351
647,Club/Bar/Restaurant,10018.0,New York,Manhattan,NY,40.75667818,-73.9943511
648,Club/Bar/Restaurant,10031.0,Ny,Manhattan,NY,40.82103435,-73.95724362
649,Club/Bar/Restaurant,10009.0,New York,Manhattan,NY,40.72440629,-73.97860951
650,Club/Bar/Restaurant,11215.0,,Brooklyn,NY,40.6658646,-73.98904921
651,Club/Bar/Restaurant,10002.0,New York,Manhattan,NY,40.7199886,-73.98809514
652,Club/Bar/Restaurant,11417.0,Ozone Park,Queens,NY,40.67187351,-73.8431061
653,Club/Bar/Restaurant,10019.0,New York,Manhattan,NY,40.76055827,-73.98399084
654,Club/Bar/Restaurant,10463.0,Bronx,Bronx,NY,40.87892449,-73.90478656
655,Club/Bar/Restaurant,10462.0,Bronx,Bronx,NY,40.84649962,-73.86001444
656,Club/Bar/Restaurant,11206.0,,Brooklyn,NY,40.70066107,-73.92966987
657,Club/Bar/Restaurant,10021.0,New York,Manhattan,NY,40.76838707,-73.95558787
658,Club/Bar/Restaurant,10463.0,Bronx,Bronx,NY,40.88403476,-73.89796587
659,Club/Bar/Restaurant,11211.0,,Brooklyn,NY,40.71366785,-73.94931535
660,Club/Bar/Restaurant,10012.0,New York,Manhattan,NY,40.72133686,-73.99708866
